Chromosome: TcChr32-S
Organism: Trypanosoma cruzi CL Brener Esmeraldo-like
Origins: 
484034 
Length: 968069 bases
Replication Speed: 67 b/s
Transcription Regions: 
(219176, 100823) (274765, 574090) (860498, 587297) (861235, 966472) 
Head collision with transcription machinery around base 840458
Head collision with transcription machinery around base 843006
Head collision with transcription machinery around base 845535
Head collision with transcription machinery around base 848078
Head collision with transcription machinery around base 850626
Head collision with transcription machinery around base 853155
Head collision with transcription machinery around base 855698
Head collision with transcription machinery around base 858246
Tail collision with transcription machinery around base 915483
Duration: 139732

Origin at position 484034 activated at 2
Head collision with transcription machinery around base 339487
Head collision with transcription machinery around base 744065
Head collision with transcription machinery around base 334401
Head collision with transcription machinery around base 749143
Head collision with transcription machinery around base 329306
Head collision with transcription machinery around base 754237
Head collision with transcription machinery around base 324228
Head collision with transcription machinery around base 759314
Head collision with transcription machinery around base 319135
Head collision with transcription machinery around base 764407
Head collision with transcription machinery around base 314058
Head collision with transcription machinery around base 769484
Head collision with transcription machinery around base 308965
Head collision with transcription machinery around base 774577
Head collision with transcription machinery around base 303888
Head collision with transcription machinery around base 779654
Head collision with transcription machinery around base 298795
Head collision with transcription machinery around base 784747
Head collision with transcription machinery around base 293718
Head collision with transcription machinery around base 789824
Head collision with transcription machinery around base 288625
Head collision with transcription machinery around base 794917
Head collision with transcription machinery around base 283548
Head collision with transcription machinery around base 799994
Head collision with transcription machinery around base 278455
Head collision with transcription machinery around base 805087
Tail collision with transcription machinery around base 177739
Head collision with transcription machinery around base 810164
Tail collision with transcription machinery around base 123360
Head collision with transcription machinery around base 815257
Head collision with transcription machinery around base 820334
Head collision with transcription machinery around base 825427
Head collision with transcription machinery around base 830504
Head collision with transcription machinery around base 835597
Head collision with transcription machinery around base 840674
Head collision with transcription machinery around base 845767
Head collision with transcription machinery around base 850844
Head collision with transcription machinery around base 855937
Tail collision with transcription machinery around base 914857
Duration: 139720

Origin at position 484034 activated at 29
Head collision with transcription machinery around base 340046
Head collision with transcription machinery around base 743506
Head collision with transcription machinery around base 332419
Head collision with transcription machinery around base 751146
Head collision with transcription machinery around base 324776
Head collision with transcription machinery around base 758772
Head collision with transcription machinery around base 317149
Head collision with transcription machinery around base 766415
Head collision with transcription machinery around base 309506
Head collision with transcription machinery around base 774042
Head collision with transcription machinery around base 301879
Head collision with transcription machinery around base 781685
Head collision with transcription machinery around base 294236
Head collision with transcription machinery around base 789312
Head collision with transcription machinery around base 286609
Head collision with transcription machinery around base 796955
Head collision with transcription machinery around base 278966
Head collision with transcription machinery around base 804582
Tail collision with transcription machinery around base 183083
Head collision with transcription machinery around base 812225
Tail collision with transcription machinery around base 128704
Head collision with transcription machinery around base 819852
Head collision with transcription machinery around base 827495
Head collision with transcription machinery around base 835122
Head collision with transcription machinery around base 842765
Head collision with transcription machinery around base 850392
Head collision with transcription machinery around base 858035
Tail collision with transcription machinery around base 902671
Tail collision with transcription machinery around base 957050
Duration: 145502

Origin at position 484034 activated at 27
Head collision with transcription machinery around base 340005
Head collision with transcription machinery around base 743547
Head collision with transcription machinery around base 329816
Head collision with transcription machinery around base 753728
Head collision with transcription machinery around base 319640
Head collision with transcription machinery around base 763923
Head collision with transcription machinery around base 309448
Head collision with transcription machinery around base 774100
Head collision with transcription machinery around base 299271
Head collision with transcription machinery around base 784293
Head collision with transcription machinery around base 289078
Head collision with transcription machinery around base 794470
Head collision with transcription machinery around base 278901
Head collision with transcription machinery around base 804663
Tail collision with transcription machinery around base 189981
Head collision with transcription machinery around base 814840
Tail collision with transcription machinery around base 135602
Head collision with transcription machinery around base 825033
Head collision with transcription machinery around base 835210
Head collision with transcription machinery around base 845403
Head collision with transcription machinery around base 855580
Tail collision with transcription machinery around base 902380
Tail collision with transcription machinery around base 956759
Duration: 145496

Origin at position 484034 activated at 10
Head collision with transcription machinery around base 339653
Head collision with transcription machinery around base 743900
Head collision with transcription machinery around base 326910
Head collision with transcription machinery around base 756635
Head collision with transcription machinery around base 314183
Head collision with transcription machinery around base 769360
Head collision with transcription machinery around base 301440
Head collision with transcription machinery around base 782102
Head collision with transcription machinery around base 288713
Head collision with transcription machinery around base 794829
Head collision with transcription machinery around base 275970
Head collision with transcription machinery around base 807572
Tail collision with transcription machinery around base 204308
Tail collision with transcription machinery around base 149930
Head collision with transcription machinery around base 820299
Head collision with transcription machinery around base 833042
Head collision with transcription machinery around base 845769
Head collision with transcription machinery around base 858512
Tail collision with transcription machinery around base 888051
Tail collision with transcription machinery around base 942430
Duration: 151239

Origin at position 484034 activated at 3
Head collision with transcription machinery around base 339508
Head collision with transcription machinery around base 744045
Head collision with transcription machinery around base 324234
Head collision with transcription machinery around base 759332
Head collision with transcription machinery around base 308942
Head collision with transcription machinery around base 774608
Head collision with transcription machinery around base 293665
Head collision with transcription machinery around base 789900
Head collision with transcription machinery around base 278393
Head collision with transcription machinery around base 805177
Tail collision with transcription machinery around base 204680
Tail collision with transcription machinery around base 150301
Head collision with transcription machinery around base 820449
Head collision with transcription machinery around base 835740
Head collision with transcription machinery around base 851017
Tail collision with transcription machinery around base 901027
Tail collision with transcription machinery around base 955406
Duration: 145472

Origin at position 484034 activated at 2
Head collision with transcription machinery around base 339487
Head collision with transcription machinery around base 744065
Head collision with transcription machinery around base 321658
Head collision with transcription machinery around base 761887
Head collision with transcription machinery around base 303835
Head collision with transcription machinery around base 779708
Head collision with transcription machinery around base 286014
Head collision with transcription machinery around base 797549
Tail collision with transcription machinery around base 191384
Head collision with transcription machinery around base 815375
Tail collision with transcription machinery around base 137006
Head collision with transcription machinery around base 833197
Head collision with transcription machinery around base 851018
Tail collision with transcription machinery around base 894290
Tail collision with transcription machinery around base 948669
Duration: 148351

Origin at position 484034 activated at 19
Head collision with transcription machinery around base 339839
Head collision with transcription machinery around base 743713
Head collision with transcription machinery around base 319466
Head collision with transcription machinery around base 764099
Head collision with transcription machinery around base 299095
Head collision with transcription machinery around base 784474
Head collision with transcription machinery around base 278725
Head collision with transcription machinery around base 804846
Tail collision with transcription machinery around base 217123
Tail collision with transcription machinery around base 162744
Head collision with transcription machinery around base 825216
Tail collision with transcription machinery around base 108365
Head collision with transcription machinery around base 845586
Tail collision with transcription machinery around base 901900
Tail collision with transcription machinery around base 956279
Duration: 145488

Origin at position 484034 activated at 3
Head collision with transcription machinery around base 339508
Head collision with transcription machinery around base 744045
Head collision with transcription machinery around base 337330
Head collision with transcription machinery around base 746236
Head collision with transcription machinery around base 335143
Head collision with transcription machinery around base 748426
Head collision with transcription machinery around base 332954
Head collision with transcription machinery around base 750616
Head collision with transcription machinery around base 330765
Head collision with transcription machinery around base 752806
Head collision with transcription machinery around base 328575
Head collision with transcription machinery around base 754996
Head collision with transcription machinery around base 326385
Head collision with transcription machinery around base 757186
Head collision with transcription machinery around base 324195
Head collision with transcription machinery around base 759376
Head collision with transcription machinery around base 322005
Head collision with transcription machinery around base 761566
Head collision with transcription machinery around base 319815
Head collision with transcription machinery around base 763756
Head collision with transcription machinery around base 317625
Head collision with transcription machinery around base 765946
Head collision with transcription machinery around base 315435
Head collision with transcription machinery around base 768136
Head collision with transcription machinery around base 313245
Head collision with transcription machinery around base 770326
Head collision with transcription machinery around base 311055
Head collision with transcription machinery around base 772516
Head collision with transcription machinery around base 308865
Head collision with transcription machinery around base 774706
Head collision with transcription machinery around base 306675
Head collision with transcription machinery around base 776896
Head collision with transcription machinery around base 304485
Head collision with transcription machinery around base 779086
Head collision with transcription machinery around base 302295
Head collision with transcription machinery around base 781276
Head collision with transcription machinery around base 300105
Head collision with transcription machinery around base 783466
Head collision with transcription machinery around base 297915
Head collision with transcription machinery around base 785656
Head collision with transcription machinery around base 295725
Head collision with transcription machinery around base 787846
Head collision with transcription machinery around base 293535
Head collision with transcription machinery around base 790036
Head collision with transcription machinery around base 291345
Head collision with transcription machinery around base 792226
Head collision with transcription machinery around base 289155
Head collision with transcription machinery around base 794416
Head collision with transcription machinery around base 286965
Head collision with transcription machinery around base 796606
Head collision with transcription machinery around base 284775
Head collision with transcription machinery around base 798796
Head collision with transcription machinery around base 282585
Head collision with transcription machinery around base 800986
Head collision with transcription machinery around base 280395
Head collision with transcription machinery around base 803176
Head collision with transcription machinery around base 278205
Head collision with transcription machinery around base 805366
Head collision with transcription machinery around base 276015
Head collision with transcription machinery around base 807556
Tail collision with transcription machinery around base 176567
Head collision with transcription machinery around base 809746
Tail collision with transcription machinery around base 122188
Head collision with transcription machinery around base 811936
Head collision with transcription machinery around base 814126
Head collision with transcription machinery around base 816316
Head collision with transcription machinery around base 818506
Head collision with transcription machinery around base 820696
Head collision with transcription machinery around base 822886
Head collision with transcription machinery around base 825076
Head collision with transcription machinery around base 827266
Head collision with transcription machinery around base 829456
Head collision with transcription machinery around base 831646
Head collision with transcription machinery around base 833836
Head collision with transcription machinery around base 836026
Head collision with transcription machinery around base 838216
Head collision with transcription machinery around base 840406
Head collision with transcription machinery around base 842596
Head collision with transcription machinery around base 844786
Head collision with transcription machinery around base 846976
Head collision with transcription machinery around base 849166
Head collision with transcription machinery around base 851356
Head collision with transcription machinery around base 853546
Head collision with transcription machinery around base 855736
Head collision with transcription machinery around base 857926
Head collision with transcription machinery around base 860116
Tail collision with transcription machinery around base 911468
Tail collision with transcription machinery around base 965847
Duration: 1406924

