[Gene ID]	[Transcript ID]	[Organism]	[Genomic Location(s)]	
TcCLB.510351.31	TcCLB.510351.31:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 35,359 - 35,661 (-)	
TcCLB.510351.40	TcCLB.510351.40:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 36,417 - 39,104 (-)	
TcCLB.510351.50	TcCLB.510351.50:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 39,500 - 40,702 (-)	
TcCLB.510351.60	TcCLB.510351.60:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 40,904 - 42,043 (-)	
TcCLB.510351.70	TcCLB.510351.70:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 43,230 - 45,557 (-)	
TcCLB.510351.80	TcCLB.510351.80:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 46,021 - 46,884 (-)	
TcCLB.510351.90	TcCLB.510351.90:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 47,404 - 48,720 (-)	
TcCLB.510353.10	TcCLB.510353.10:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 74,533 - 77,049 (-)	
TcCLB.510353.20	TcCLB.510353.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 77,866 - 80,406 (-)	
TcCLB.510353.30	TcCLB.510353.30:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr2-S: 81,349 - 83,091 (-)	
